Energy  Mobility  Diffusion
0.5000  32639.751552795027  10881.987577639751
0.5211  30885.093167701863  10729.813664596273
0.5431  29173.91304347826  10562.111801242236
0.5660  27509.316770186335  10378.881987577639
0.5899  25934.782608695652  10198.757763975156
0.6149  24447.204968944097  10021.739130434782
0.6408  23037.267080745343  9841.6149068323
0.6679  21645.962732919255  9636.64596273292
0.6961  20406.832298136647  9468.944099378881
0.7255  19158.385093167704  9263.975155279502
0.7561  18006.211180124224  9074.534161490685
0.7880  16931.67701863354  8894.409937888198
0.8213  15875.776397515529  8692.546583850932
0.8560  14940.993788819876  8524.844720496894
0.8921  13984.472049689442  8316.770186335405
0.9298  13139.75155279503  8142.857142857143
0.9691  12307.453416149068  7950.3105590062105
1.010  11546.583850931678  7773.291925465839
1.053  10816.770186335403  7590.062111801242
1.097  10139.75155279503  7416.149068322981
1.143  9500.0  7239.130434782609
1.192  8906.832298136645  7074.534161490683
1.242  8332.298136645963  6897.51552795031
1.294  7819.875776397515  6748.447204968944
1.349  7301.242236024845  6565.217391304348
1.406  6854.037267080746  6425.465838509317
1.465  6403.726708074534  6254.658385093167
1.527  6003.105590062112  6111.801242236024
1.592  5614.906832298137  5956.521739130435
1.659  5251.552795031056  5807.453416149068
1.729  4934.782608695652  5689.4409937888195
1.802  4599.378881987577  5524.844720496894
1.878  4310.5590062111805  5397.515527950311
1.957  4040.3726708074537  5273.291925465839
2.040  3770.186335403727  5127.329192546584
2.126  3534.16149068323  5009.316770186335
2.216  3310.5590062111796  4891.304347826087
2.310  3091.9254658385094  4760.869565217391
2.407  2896.894409937888  4649.068322981367
2.509  2711.490683229814  4534.16149068323
2.615  2534.472049689441  4416.149068322981
2.725  2371.4285714285716  4307.453416149068
2.840  2216.7701863354037  4195.652173913043
2.960  2074.223602484472  4093.1677018633536
3.085  1937.2670807453417  3984.472049689441
3.215  1810.248447204969  3878.8819875776394
3.351  1686.9565217391303  3767.0807453416146
3.493  1575.1552795031055  3667.7018633540374
3.640  1468.9440993788821  3565.217391304348
3.794  1367.0807453416148  3456.521739130435
3.954  1270.807453416149  3347.8260869565215
4.121  1183.2298136645961  3248.4472049689443
4.295  1100.6211180124224  3152.173913043478
4.476  1021.7391304347826  3048.4472049689443
4.665  948.7577639751553  2950.3105590062114
4.862  881.9875776397515  2858.695652173913
5.067  820.807453416149  2772.6708074534163
5.281  763.6645962732919  2688.8198757763976
5.504  710.8695652173913  2608.695652173913
5.737  663.0434782608696  2536.024844720497
5.979  619.2546583850932  2468.6335403726707
6.232  579.5031055900621  2406.832298136646
6.495  542.5465838509317  2349.3788819875776
6.769  509.00621118012424  2297.2049689440996
7.055  478.5714285714286  2250.310559006211
7.353  450.62111801242236  2208.385093167702
7.663  425.15527950310553  2171.11801242236
7.987  401.8633540372671  2138.8198757763976
8.324  380.4347826086957  2111.1801242236024
8.675  361.1801242236025  2088.198757763975
9.042  343.167701863354  2069.5652173913045
9.423  327.01863354037266  2055.2795031055903
9.821  312.4223602484472  2045.6521739130435
10.24  298.9751552795031  2040.3726708074535
10.67  286.7080745341615  2039.1304347826087
11.12  275.4968944099379  2042.2360248447205
11.59  265.3105590062112  2049.6894409937886
12.08  256.0248447204969  2061.4906832298134
12.59  247.51552795031057  2077.3291925465837
13.12  239.75155279503105  2096.894409937888
13.67  232.63975155279505  2120.807453416149
14.25  226.11801242236024  2148.447204968944
14.85  220.1552795031056  2180.1242236024846
15.48  214.6894409937888  2215.527950310559
16.13  209.65838509316768  2255.2795031055903
16.81  205.0310559006211  2298.447204968944
17.52  200.7453416149068  2345.3416149068325
18.26  196.77018633540374  2395.962732919255
19.03  193.07453416149067  2450.6211180124224
19.84  189.62732919254657  2508.385093167702
20.68  186.42857142857142  2570.186335403727
21.55  183.38509316770185  2635.0931677018634
22.46  180.5590062111801  2704.037267080745
23.41  177.85714285714286  2776.086956521739
24.40  175.3416149068323  2852.1739130434785
25.43  172.95031055900623  2931.9875776397516
26.50  170.65217391304347  3015.2173913043475
27.62  168.416149068323  3101.552795031056
28.78  166.33540372670808  3192.546583850932
30.00  164.28571428571428  3285.7142857142853
